cell_specimen_id,axon.total_length,all_neurites.total_length,basal_dendrite.total_length,dendrite.total_length,dendrite.total_surface_area,axon.total_surface_area,all_neurites.total_surface_area,basal_dendrite.total_surface_area,dendrite.total_volume,axon.total_volume,all_neurites.total_volume,basal_dendrite.total_volume,dendrite.num_tips,axon.num_tips,all_neurites.num_tips,basal_dendrite.num_tips,dendrite.num_nodes,axon.num_nodes,all_neurites.num_nodes,basal_dendrite.num_nodes,dendrite.num_branches,axon.num_branches,all_neurites.num_branches,basal_dendrite.num_branches
821788449,22853.94264,25282.08987,2428.147232,2428.147232,4003.116724,16431.21886,21549.07296,4003.116724,537.9839778,940.8027652,3177.450248,537.9839778,28,255,283,28,1557,15678,17236,1557,51,509,564,51
821907565,16864.17109,18845.84329,1981.672197,1981.672197,3985.804133,12129.91143,17291.08731,3985.804133,669.2867328,696.4903862,3047.995026,669.2867328,17,198,215,17,1358,11651,13010,1358,27,395,428,27
823253200,14838.03631,18138.21501,3300.178698,3300.178698,5138.255371,10668.02727,17619.47721,5138.255371,641.447743,610.7322651,4404.636576,641.447743,26,157,183,26,2567,10094,12662,2567,45,313,364,45
823681740,18858.56728,22470.74361,3611.062747,3611.062747,6761.022662,13555.47026,21327.07989,6761.022662,1059.672327,775.3728987,3484.88053,1059.672327,72,215,287,72,2556,13581,16138,2556,141,429,572,141
823702943,13565.54454,16664.61681,3096.778567,3096.778567,6345.558299,9821.974187,17968.38821,6345.558299,1082.711361,569.7952308,4929.991069,1082.711361,35,180,215,35,2025,9851,11877,2025,63,359,428,63
823719680,5142.937015,7225.63701,2081.846569,2081.846569,4007.11297,3696.724607,8485.156645,4007.11297,637.6727379,211.4526475,1888.802943,637.6727379,32,59,91,32,1738,4006,5745,1738,60,117,180,60
823830483,16957.24231,20257.35695,3299.505104,3299.505104,4913.893855,12188.80471,18565.03935,4913.893855,585.8429719,697.1996297,3743.638509,585.8429719,33,221,254,33,2397,11596,13994,2397,60,441,506,60
824909637,12617.88896,18024.92064,3568.93984,5407.031684,8602.783483,12965.62201,23321.81166,5564.995427,1127.275269,1076.237219,5036.573809,695.6079928,50,93,143,34,3726,8290,12017,2475,92,185,284,61
824937690,25.65752563,4320.339237,2787.008193,4293.458163,8399.280097,27.66380556,10203.36685,5392.689003,1340.622379,2.373554517,4183.512195,850.6613951,43,1,44,28,2936,23,2960,1914,79,1,86,50
825269133,12812.66578,15529.89722,2717.231441,2717.231441,6655.9521,13454.83993,21165.43743,6655.9521,1394.898925,1133.333928,4061.209379,1394.898925,20,191,211,20,1990,9486,11477,1990,34,381,420,34
825522397,17363.62861,20658.9824,3294.184707,3294.184707,5342.595582,12480.91372,20373.92977,5342.595582,703.3774458,713.9082648,5899.72365,703.3774458,40,243,283,40,2359,11835,14195,2359,71,485,564,71
825549510,20273.28129,22258.03606,1984.754774,1984.754774,3155.293377,14579.90109,18582.06842,3155.293377,405.7383566,836.4774954,2428.017809,405.7383566,39,247,286,39,1438,12458,13897,1438,73,493,570,73
826712572,9499.467979,11582.45281,2082.98483,2082.98483,3806.144229,6828.450448,11415.0381,3806.144229,560.554187,390.6058871,1879.038645,560.554187,42,157,199,42,1279,5570,6850,1279,78,313,396,78
827347629,18313.03804,21931.05849,3617.442877,3617.442877,5459.586473,13163.3458,20005.19995,5459.586473,658.4193873,752.9433796,3842.194368,658.4193873,53,190,243,53,2702,12936,15639,2702,100,379,484,100
